UniqueCount	AmbigCount
0	81
0	3
1	687
0	0
0	0
0	0
0	0
0	6
0	2
0	0
0	0
0	0
0	2
16	34
0	11
10	19
0	17
0	7
0	19
8	4
1	74
0	0
0	16
647	423
1	424
30	263
4	8
8	6
14	50
0	2
0	0
0	3
4	1258
24	366
1	371
0	262
0	88
0	75
223	40
0	0
0	36
0	0
0	0
0	0
0	1
0	6
0	1
0	29
6	39
23	43
0	29
0	58
36	5
0	79
0	47
0	88
0	75
0	27
0	22
0	38
2	52
0	30
17	23
0	45
0	13
0	3
0	11
0	186
7	4
0	0
0	44
0	3
55	82
3	5
0	1
0	38
0	1
2	1
1	5
0	3
0	1
1	43
0	29
0	0
19	28
0	30
0	29
0	60
0	0
0	0
11	5013
3630	49881
78	155148
0	0
12	710
0	2
7207	23649
7	2572
0	0
0	4
126	1042
0	86
0	40
3	40
0	0
0	0
0	113
0	12
0	10
0	7
0	3
0	110
17	22
0	6
0	6
0	67
0	0
0	8
0	10
0	7
1	94
0	28
10	7
0	95
31	95
0	6
0	0
4	0
0	26
0	5
0	11
0	5
0	7
0	0
0	27
26	133
2	139
109	139
0	2
21	17
0	17
1	2
0	4
0	97
0	98
143	402
169	255
5	627
71	63
0	193
0	412
39	12
0	415
0	193
0	117
0	95
0	39
0	60
0	14
39	3
0	113
0	116
0	99
0	11
0	34
0	5
1	35
0	118
0	186
0	201
0	103
2	38
1	105
0	102
4	38
0	6
7	131
0	36
0	32
2	1
122	13
0	20
10	20
0	40
0	9
0	37
0	2
0	0
0	0
32	1
1	1
33	12
0	12
0	0
0	39
0	39
0	3
1	27
0	17
0	17
0	20
0	17
0	17
0	21
9	17
0	0
1	2
4	0
0	0
185	3011
8	1954
76	2701
0	0
133	586
15	215
50	22
9	2
3	21
5	0
1	2
0	3
0	3
0	0
0	0
0	2
0	2
0	2
0	0
13	0
4	24
5	22
0	24
0	17
1	29
0	10
13	29
0	0
0	0
3	1810
1	1753
0	1631
0	1688
0	17
3	43
12	30
0	3
6	34
93	416
0	8
0	44
0	37
0	35
2	37
0	32
12	32
0	32
0	7
1	22
0	11
11	0
0	0
0	77
0	78
0	93
0	92
18	64
0	80
1	80
0	16
0	65
5	40
0	35
0	36
0	10
1	2
0	11
0	1
0	1
0	4
7	0
6	0
0	0
0	0
0	0
0	0
2	0
3	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	4
0	4
0	0
12	1724
12	1960
0	1660
0	1724
56	781
6	651
0	864
0	183
805	0
1	0
0	0
3	0
0	0
0	0
296	3
5	547
1	627
0	545
1	475
5	454
0	442
3	438
3	32
0	404
1	449
0	178
0	120
0	156
0	136
0	117
1	11
0	89
0	89
10	94
37	0
0	0
5	0
2	26
0	25
3	25
0	26
0	2
0	21
5	1
4	7
46	486
80	584
11	369
0	296
2	5
0	13
4	23
0	3
28	181
0	98
11	31
5	44
0	0
0	0
22	299
4	70
5	13
0	106
14	199
0	819
0	1370
0	1366
0	1158
0	73
0	1210
0	1419
0	1160
42	1074
0	633
0	1070
0	1368
0	1164
0	1099
0	1303
0	1325
0	784
0	599
1	183
0	1179
0	455
0	821
0	499
10	112
0	160
0	277
0	0
2	33
0	253
1	123
0	146
0	207
0	181
0	181
0	0
0	0
0	118
0	227
8	158
5	91
0	119
0	117
0	76
0	53
0	42
0	51
0	0
0	20
0	5
0	0
1	0
2	57
100	68
5	11
5	0
12	402
50	396
4	75
0	75
0	42
1	41
1	22
0	0
0	2
1	5
0	6
1	4
5	6
0	2
0	2
1	3
0	0
0	0
3	473
0	464
42	461
3	467
4	17
0	9
0	0
0	1255
15	1580
5	1260
42	822
9	2589
0	1845
2	2200
0	2291
0	1026
0	1323
0	368
4	381
10	277
0	373
0	440
14	36
12	228
5	28
17	122
0	99
0	125
0	113
1	105
0	103
0	113
0	125
0	125
0	88
0	124
0	4
0	124
0	94
0	124
0	4
0	99
0	121
0	119
0	26
50	343
0	170
32	254
12	0
39	189
0	43
0	16
89	18
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	217
0	0
0	0
10	456
0	264
129	430
1	26
53	224
28	132
12	7
0	6
0	2
0	1242
10	1011
0	1177
0	1173
0	1153
3	42
0	30
10	375
5	10
0	10
0	0
1032	1715
148	1199
4	527
598	144
1	15
84	17
3	0
437	0
27	0
62	0
21	297
0	286
0	299
0	304
0	217
0	272
0	300
122	79
0	8
5	291
4	10
0	193
0	81
0	7
0	23
0	305
7	166
0	17
0	262
5	216
11	1
4	10
1	251
7	88
20	23
0	18
0	17
0	49
0	49
0	64
0	65
3	62
3	0
0	10
7	13
0	10
0	6
0	3
0	12
0	4
11	0
0	0
19	1437
0	1398
0	1292
0	1257
0	1200
0	1126
0	1115
1	1124
0	298
1	0
5	301
43	2308
2	2322
2	664
11	311
10	0
0	0
0	6
26	1280
0	1180
0	133
2	941
0	1120
0	802
0	1064
0	1116
0	1122
0	825
22	24
1	75
3	34
0	3
3	517
0	3
0	30
2	218
0	512
9	121
70	33
5	17
6	5
358	765
6	0
15	0
7	0
0	0
3	264
29	26
2	257
0	130
58	1840
5	1659
13	1518
7	520
0	8
0	119
0	79
0	14
15	105
1	23
35	11
0	88
3	470
1	503
1	499
13	457
3	0
269	8614
2	12866
109	13870
127	1039
31	1975
0	1572
103	1620
16	577
32	55
1	4644
0	1
0	1
0	0
0	0
0	12
0	11
6	12
0	4
1	6
0	9
0	0
0	3
2	3
0	0
0	3
0	0
0	3
0	0
0	0
6	0
0	0
0	0
24	3
0	0
0	0
0	0
0	11
0	38
0	15
0	29
0	30
0	37
0	12
0	37
0	35
0	15
0	0
0	33
0	11
0	10
2	18
0	0
0	0
0	0
0	18
0	0
0	0
11	207
0	21
0	0
0	3
1	3
0	0
0	204
0	18
0	203
0	28
0	41
0	28
0	38
0	30
0	60
0	46
0	34
1	27
0	18
0	27
0	0
0	175
1	51
2	95
3	114
0	2
28	0
10	0
2	0
3	32
7	35
6	180
0	198
0	151
80	168
0	29
0	180
1	170
41	172
0	166
0	16
0	167
0	0
0	0
0	0
5089	250
15	0
0	86
11	164
0	39
28	39
0	118
1	63
17	119
0	6
20	16
5	15
35	33
0	45
22	3
0	18
0	7
1	0
65	6
0	6
21	0
17	1093
0	68
2	1247
2	178
30	43
0	678
0	160
156	275
9	347
5	275
0	281
0	133
0	189
0	22
0	4
2	3
0	2
1	2
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
2	0
0	255
0	245
1	179
0	20
0	5
3	4
0	1
0	13
0	33
4	9
0	2
0	0
0	0
0	7
0	7
0	9
0	0
5	7
0	2
13	14
0	2
0	20
0	29
4	29
0	29
0	20
2	133
0	128
0	6
0	11
0	20
5	110
0	139
0	18
0	29
2	0
1	12
2	0
1	0
0	0
0	9
0	12
0	55
0	51
0	55
0	53
0	18
0	52
0	14
0	7
0	4
0	2
0	45
0	1
1	43
0	0
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
13	0
0	0
0	0
0	0
21	182
0	182
2	180
0	40
0	10
0	14
4	133
4	0
42	17
7	17
0	0
0	15
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	0
69	248
0	248
3	314
44	316
19	10
9	147
0	104
0	40
0	12
1	86
0	143
1	90
0	418
0	362
0	226
0	361
0	364
0	153
0	156
0	181
0	152
0	372
1	120
2	3
0	182
0	37
0	0
0	0
0	5
0	7
0	35
0	33
0	48
0	65
0	21
0	0
0	47
0	0
0	49
3	45
0	57
0	50
0	19
0	28
0	39
0	37
0	27
0	44
0	31
0	4
0	4
0	5
0	33
0	38
17	0
0	31
0	0
0	0
12	22
3	89
24	89
2	25
0	16
3	22
10	10
431	98
2	98
0	7
5	0
11	0
5	1039
0	1625
0	1655
1	1619
0	1507
0	1648
3	1606
35	1542
2	974
0	1576
0	1541
0	1625
0	1607
2	1473
0	1506
0	1542
0	8
0	1474
0	473
2	1474
1	122
0	12
0	993
0	823
2	111
20	71
0	7
0	174
3	140
3	161
1	167
0	167
0	168
0	167
0	167
0	2
0	20
6	226
12	253
16	261
0	225
0	238
0	247
0	242
0	247
3	258
5	142
0	18
0	5
0	8
34	13
17	12
0	3
4	6
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
129	44
4	44
0	0
1	40
0	40
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	0
0	0
0	0
1	69
1	57
3	595
31	694
2	671
0	613
2	0
0	23
56	37
0	437
4	19
0	709
0	735
2	4343
2	4412
0	4312
2	73
0	313
0	2
113	328
0	1
0	538
1	286
11	378
0	4198
0	709
0	3
0	1254
0	4285
8	456
2	2825
1	5014
0	1023
2	4438
36	1675
0	833
0	1962
1	4572
3	409
19	770
81	4073
25	717
0	8
6	4370
7	4323
18	1475
15	1557
0	369
69	6
36	3960
58	171
2	1516
67	2438
6	121
28	144
4	202
7	3029
7	2597
0	3022
3	33
0	0
0	26
0	19
0	19
0	4
5	2825
6442	31562
374	31551
5	31386
6	27922
0	3720
0	2833
3	2826
2	0
2	0
24	33
0	0
0	3
19	33
0	2
0	0
0	12
2	7
1438	1622
0	33
23	1596
13	532
8	11
1	1
0	11
0	0
302	0
0	640
0	691
7	580
1	578
8	580
0	589
1	586
0	689
0	468
17	18
12	0
10	0
0	0
0	0
12	0
0	0
0	0
4	303
48	181
3	10
1	11
0	31
0	13
0	9
5	177
0	140
0	9
1	169
1	6
0	68
0	120
0	135
0	16
0	0
0	0
0	48
0	56
0	47
13	49
0	42
0	48
0	45
0	40
0	21
0	7
0	14
0	7
0	7
0	10
0	8
0	0
0	9
0	8
0	2
0	3
0	0
0	27
0	42
0	47
0	47
0	47
0	43
0	47
0	47
2	47
1	43
0	47
1	47
0	47
0	47
0	47
0	43
0	47
0	0
0	2
0	11
0	0
0	0
0	0
0	15
0	15
0	12
0	12
0	12
0	0
1668	202
1	167
12	72
5	18
0	15
0	0
0	0
0	0
0	0
0	0
0	0
9	327
9	114
11	91
0	70
25	186
26	80
0	107
0	41
0	442
45	435
0	70
0	56
0	41
245	8
0	8
52	44
4	0
0	39
7	13
0	27
2	22
0	15
6	8
1	287
0	1374
0	1464
0	814
3	1020
22	1101
0	1183
0	1373
8	1124
19	352
0	799
0	1042
6	1174
4	555
11	935
2	317
1	154
111	458
1	207
0	445
0	63
0	285
0	291
16	291
9	162
2	0
0	0
0	0
0	0
0	0
0	0
4	0
1	0
2	136
63	222
2	171
7	173
3	85
7	98
0	158
1	88
0	41
0	51
0	40
0	34
29	13
0	152
0	96
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
3	0
0	0
733	55
79	55
7	28
13	0
0	274
0	52
0	274
0	272
3	248
0	11
1	2
0	1
0	2
8	0
205	116
21	83
4	68
0	30
0	30
0	0
0	0
0	1
0	0
2	709
77	115
96	2856
1	2283
29	2934
1	633
0	2812
0	656
25	361
0	2169
0	0
38	0
33	0
1	0
0	40
183	120
9	80
0	91
0	42
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	1534
46	1577
6	1075
0	1
0	639
2	771
0	61
16	763
0	12
0	40
0	3
0	0
1	0
0	30
16	496
44	450
2	5
0	32
3	12
32	73
0	0
0	0
0	0
1	0
0	0
0	1
18	1
0	0
0	0
13	0
0	0
2	23280
168	16410
0	16616
0	18941
97	18877
1	7134
0	6352
0	5430
0	1334
65	5114
26	2731
1	341
2	321
34	938
40	1168
68	32
2	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1947	357
0	5
1	356
0	308
0	311
0	307
0	319
0	218
0	213
0	117
0	0
136	12
0	0
4	7
15	0
2	0
0	0
0	0
0	0
3	1
0	1
0	1
0	1
0	0
0	0
758	1324
5	1314
0	708
191	104
0	52
22	104
6	74
1	0
20	14
0	14
0	12
5	1
0	0
2	0
567	440
125	0
8	526
122	275
0	342
1	4
14	43
208	4140
0	3880
4	7
0	2214
0	55
7	267
84	0
1	0
0	0
16	7557
0	7486
20	1239
179	6634
11	7755
1	475
0	0
4	0
0	0
41	153
18	153
0	68
0	18
0	0
0	0
11	642
514	1076
0	1072
50	986
0	17
3	0
7	105
0	259
112	276
1	40
0	10
18	0
0	0
0	0
0	41
0	1
0	1
117	2775
2	3472
7	3477
16	79
18	5
0	277
31	418
0	144
6	359
0	30
0	0
1	0
0	0
0	1390
2	1359
0	1643
8	98
0	1317
0	1298
0	1298
0	1300
0	1593
3	1257
1	3
2	73
0	1302
0	1295
0	1295
1	0
3	7
5	20
0	31
5	31
0	138
2	8
0	0
0	27
0	0
0	0
0	0
18	0
1	0
8	25
0	25
0	11
0	451
26	1
4687	2308
5	146
0	942
7	258
6	739
5	56
0	932
4	233
0	0
2	31
0	18
0	518
0	23
0	1
12	544
0	2
14	236
2	187
0	173
0	0
1030	171
0	114
9	178
5	0
44	0
571	42
0	40
1	0
0	0
2	0
17	175
0	0
0	0
6	175
0	0
15	159
2	26
0	39
0	0
12	0
0	0
5	14
0	30
0	31
1	0
3	17
1	0
0	812
0	3347
0	1286
0	1348
0	1285
0	449
4	757
15	865
68	4149
1	1531
1	695
0	1880
0	1530
0	1059
0	1248
0	1279
0	834
3	1201
72	68
0	634
0	491
0	485
0	259
0	105
2	177
0	95
0	77
0	210
27	1117
10	1139
1	213
54	114
10	85
0	162
3	303
0	105
77	184
0	183
11	7
4	3
4	4
0	4
2	128
152	304
0	37
0	15
0	156
2	76
1	4460
66	4652
24	859
0	49
44	217
0	426
1	38
0	11
8	12
4	165
3	573
2	1
0	2
2	2
11	1875
2790	2081
2	185
2	176
0	126
53	206
9	40
0	0
0	0
0	0
0	0
0	0
0	0
0	0
601	38
0	35
13	23
82	15
0	0
0	0
0	0
29	12
6	0
0	12
0	0
17	0
0	0
0	3
3	3
0	3
0	3
0	0
0	0
0	57
0	18
0	83
1	88
1	49
0	32
0	60
0	21
2	28
29	51
1	7
0	47
0	662
11	662
0	447
0	404
0	501
0	135
26	207
2	153
12	62
38	5
0	98
0	64
1	65
1	2
0	269
0	90
2	235
0	108
0	50
0	92
0	48
0	72
0	14
1	11
2	7
0	7
2	0
0	7
0	0
0	0
0	0
0	7
1	0
2	1003
0	891
0	893
0	963
0	238
0	188
0	245
1	221
0	205
0	195
0	141
0	37
0	41
2	126
0	84
19	20
0	57
0	7
14	0
0	664
0	685
14	47
32	283
2	196
0	73
0	70
6	82
5	4
3	19
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	14
0	14
1	9
155	1
12	9
16	14
0	0
4	0
292	497
0	494
20	389
0	225
7	72
626	651
0	153
4	149
0	35
0	129
0	55
2	311
3	0
2	5351
0	5351
0	5399
23	2768
39	5314
13	3794
0	387
0	350
4	580
0	5335
0	5654
0	5246
31	1189
4	3733
0	5082
0	5332
5	129
2	5471
0	54
0	410
5	5485
0	5432
0	5728
1	5438
0	5438
1	5587
10	437
11	5068
0	732
4	4274
36	3978
9	1994
1	1783
0	0
0	149
52	233
0	189
0	101
0	3
1	64
0	37
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
5	1323
0	21
3	1308
4	134
0	0
0	0
0	0
0	3592
0	3612
1	8
0	21
0	2451
0	1033
21	823
14	234
6	154
3	69
0	961
5	900
2	411
0	0
0	15
0	15
8	493
11	57
0	67
0	1
0	0
0	25
33	25
0	1
103	10
7	2
7	8
0	0
0	0
0	0
0	9
0	9
0	2
0	9
9	0
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3025
0	2
0	157
2	3023
1	505
0	17
0	3
174	3623
