Sample Name	% Dups	Read Length	M Seqs
SRR8932929_RNA_THP1_24hrPMA_rep2_R1	59.1%	100 bp	70.7
SRR8932929_RNA_THP1_24hrPMA_rep2_R2	55.9%	100 bp	70.7
SRR8932930_RNA_THP1_0hrPMA_rep1_R1	54.0%	100 bp	77.2
SRR8932930_RNA_THP1_0hrPMA_rep1_R2	52.7%	100 bp	77.2
SRR8932933_RNA_THP1_2hrPMA_rep1_R1	58.8%	100 bp	78.7
SRR8932933_RNA_THP1_2hrPMA_rep1_R2	59.3%	100 bp	78.7
SRR8932934_RNA_THP1_24hrPMA_rep1_R1	64.2%	100 bp	47.4
SRR8932934_RNA_THP1_24hrPMA_rep1_R2	60.2%	100 bp	47.4
SRR8932935_RNA_THP1_0hrPMA_rep2_R1	56.1%	100 bp	82.1
SRR8932935_RNA_THP1_0hrPMA_rep2_R2	56.4%	100 bp	82.1
SRR8932938_RNA_THP1_2hrPMA_rep2_R1	49.4%	100 bp	36.2
SRR8932938_RNA_THP1_2hrPMA_rep2_R2	50.9%	100 bp	36.2
