"Position (bp)"	"ATAC_THP1_0hrPMA_rep1_r1"	"ATAC_THP1_0hrPMA_rep1_r2"	"ATAC_THP1_0hrPMA_rep2_r1"	"ATAC_THP1_0hrPMA_rep2_r2"	"ATAC_THP1_24hrPMA_rep1_r1"	"ATAC_THP1_24hrPMA_rep1_r2"	"ATAC_THP1_24hrPMA_rep2_r1"	"ATAC_THP1_24hrPMA_rep2_r2"
1	30.58312316154554	30.405294617723023	30.733538154264924	30.58324775454262	30.745057845051203	30.539099443484552	30.721842102337646	30.6189579135904
2	30.855174797471765	30.15386173696715	30.92495139987446	30.441343792227283	30.965074750111157	30.294336289898055	30.92966097964011	30.465842574664915
3	30.887823915186843	30.257242855231436	30.943855045438823	30.564019022714135	30.99340072935845	30.39375081641982	30.96696228903768	30.582855244916725
4	30.992533776050845	30.389805969145247	31.049971931444052	30.65772866803788	31.095886953029932	30.512940751604084	31.079623409988013	30.680283683490593
5	30.891686162870712	30.27103406173557	30.92455938495472	30.61008518974471	30.979194337803737	30.415096568126128	30.942436276215073	30.617296743081546
6	34.156383388655264	33.653590438733374	34.19353874522338	34.01300429788771	34.257664482940356	33.806798270290244	34.229239590418764	34.02356353573235
7	34.222677436007174	33.676331450962884	34.26588746919501	34.008413906432715	34.32463782953513	33.82202685457419	34.30371679159376	34.02476848820112
8	34.12220951146448	33.522653013243165	34.145379079796896	33.89797642249182	34.21103013804498	33.681336623410914	34.181423819952094	33.91309695234986
9	34.25091355896413	33.73999497567994	34.2964247792012	34.05028894843554	34.353843372871594	33.870956390657334	34.338053648708936	34.07125048161518
10	34.17965984880833	33.61320853348853	34.21307800118541	33.94124933050408	34.27317038465098	33.75263302707478	34.25100106883147	33.95750180566614
12	34.16776899648829	33.536828169945096	34.2032447500933	33.87058724215287	34.262866920721166	33.67537721912076	34.240671913108486	33.88712253193174
14	34.11163445688205	33.444583827600454	34.143627367808094	33.79948733418297	34.20293274776361	33.58545771167727	34.178474275597544	33.81263865468338
16	34.100251344892946	33.39832020913056	34.132626717606016	33.767383723185446	34.19203579637082	33.545306848219184	34.16470510075539	33.77470461994025
18	34.058468749691045	33.35832061874697	34.09190734027641	33.730370989390465	34.151414308341614	33.50430759874017	34.121109041911296	33.73527598665743
20	34.00094453164211	33.30167723616831	34.02726208190564	33.682552770456674	34.08762683672025	33.447883098513955	34.0545540701533	33.68447054154564
22	33.96502310924234	33.27317362952111	33.99323814166445	33.65277995260056	34.0502917574255	33.41856165672709	34.01905783609379	33.65432280723016
24	33.87851196623426	33.23221324725856	33.903785185440114	33.61881122135713	33.96126520842837	33.378854964667454	33.92663875667567	33.616658350951
26	33.7379375248844	33.18381326089853	33.756630313920226	33.57514598806849	33.81346847679198	33.33066376472502	33.7750459071126	33.568934893445686
28	33.7006260962296	33.15645441590297	33.71826708537685	33.54112296411833	33.77500777988588	33.30102157236722	33.73550990523984	33.53537023548313
30	33.62234507304058	33.099396078784835	33.6356916372098	33.48775142545573	33.6919208265126	33.24379519766451	33.650230315176735	33.47911792685905
32	33.559528421690814	33.035293933712786	33.569633753647196	33.43878857675145	33.62461289020186	33.18311762422729	33.581136924068915	33.42570406701761
34	33.54087082616762	33.028481293057546	33.551775857242724	33.418165870687275	33.60315620294125	33.169014435160776	33.55861390557352	33.40355822697395
36	33.88148493396852	33.37357937045784	33.774472230930414	33.660839414558595	33.80310379407839	33.382416943506506	33.74806504981271	33.610776008692824
38	33.811706573888785	33.27088365426177	33.69572737232663	33.56901471313658	33.72603464844126	33.283090117483155	33.6676439240819	33.51776267298636
40	33.78942704811353	33.228504877681665	33.67594949897874	33.51478408790763	33.698599680442506	33.232349714083696	33.63893208912042	33.456986874501425
42	33.70755993156325	33.14326991909147	33.59310029966372	33.428533166539765	33.61793319697193	33.146933459150404	33.5545176425009	33.3678400199945
44	33.65322395340982	33.05359158194517	33.53652374119537	33.34231244962855	33.56137047799682	33.058067208298894	33.49435431066973	33.27730422200386
46	33.58131307233924	32.99115428408634	33.46510025536295	33.26233940801649	33.48984306867868	32.991502280420804	33.422189863977366	33.197463322652496
48	33.50935984824375	32.88509640684945	33.391155629560956	33.15295176380291	33.41402504912489	32.88223679362186	33.34392857573218	33.0841305758768
50	33.458831818138634	32.81879487067529	33.3379983956157	33.07309406247095	33.35709847747047	32.80805859691644	33.28560921647234	33.000430635684836
52	33.31983265121855	32.711035994815795	33.1980712793849	32.9469271071613	33.22115742065274	32.6993982825916	33.14526754350268	32.87605465956368
54	33.207532491339634	32.65109156245387	33.0822653100131	32.876755985777955	33.107680804078285	32.63627491060891	33.025056742426614	32.80236411942818
56	33.07161438549808	32.528438686856255	32.944224356927016	32.738143046159564	32.97031253628526	32.5091062728132	32.88299250870422	32.66154540616051
58	32.90333402618026	32.41504488689487	32.77005807454689	32.624619443835634	32.79885810196645	32.39407378748097	32.70686857889758	32.5446752906473
60	32.81345670434497	32.36388093774197	32.67583223902412	32.572791809663165	32.70394864821006	32.34016153280848	32.609613501432385	32.49064074653616
62	32.680003265865324	32.254246156160576	32.537098680090985	32.45647047743388	32.569684815478155	32.230658130418924	32.46835855216996	32.37414222410327
64	32.543985972973914	32.2118208289346	32.39564447989522	32.40208216935025	32.430268737515036	32.18579123434235	32.32567055210467	32.32036159228725
66	32.475827266689535	32.15069846622375	32.323625219895035	32.32997328352934	32.35641559435529	32.11871012073935	32.24857729556477	32.24476258389616
68	32.34262795678463	32.100048376500794	32.18500887702511	32.27513298722018	32.221681708446226	32.06454560366953	32.10988592382351	32.189844937347516
