"Position in Read (bp)"	"ATAC_THP1_0hrPMA_rep1_r1_val_1"	"ATAC_THP1_0hrPMA_rep1_r2_val_2"	"ATAC_THP1_0hrPMA_rep2_r1_val_1"	"ATAC_THP1_0hrPMA_rep2_r2_val_2"	"ATAC_THP1_24hrPMA_rep1_r1_val_1"	"ATAC_THP1_24hrPMA_rep1_r2_val_2"	"ATAC_THP1_24hrPMA_rep2_r1_val_1"	"ATAC_THP1_24hrPMA_rep2_r2_val_2"
1	0.0000500811067317544	0.004493641122203781	0.00004596623274576263	0.004354800919696382	0.000047463391051400974	0.004448901854551318	0.00004589018845025362	0.0043366228085489665
2	0.00014037885977840248	0.005783609022870183	0.000116914113722918	0.005685823137464987	0.00012261376021611915	0.005759682504087508	0.0001396657909355545	0.005634517051457227
3	0.00013354961795134505	0.006348159680573596	0.00012290970929845226	0.00625340618528223	0.00011865847762850242	0.006314213122871375	0.00011871592229522132	0.006304912847947888
4	0.00014948451554781236	0.0071760155509424444	0.00016787667611495918	0.006987866643285176	0.00014950968181191306	0.007076791605763885	0.00014964191885952268	0.006994263287494089
5	0.0001282379854191893	0.010058714406608127	0.000116914113722918	0.00967489272705378	0.00010441946031308214	0.009752144748027852	0.00010474934320166587	0.009805536136468323
6	0.00015479614807996817	0.008583598171963724	0.00014489355974207788	0.008450791963715535	0.00015900236002219326	0.008376497464054748	0.00015562759561390358	0.008300138432741525
7	0.0004127897282132484	0.011290254349420815	0.00039970637170228375	0.010787075706315383	0.0004081851630420483	0.011036029475968248	0.00036911673318682257	0.010845048666145806
8	0.0001745250689136896	0.010205163703566136	0.00017587080354900485	0.00976282812882828	0.00020092835545093077	0.009989461703284857	0.00019353688172498264	0.009901306964538416
9	0.0000629807857384184	0.012707701430858954	0.00005695815796757544	0.012326944503298434	0.00006486663443691466	0.012553275876578033	0.000046887801242650434	0.012318522760515906
10	0.0000971269948737055	0.010548143404213908	0.00009692879513780382	0.010375378143462032	0.00010679262986565218	0.0102687046539706	0.00011372785833323724	0.010345244657155
11	0.0006138729597877168	0.010743156198608769	0.0005416021336565945	0.010427339971783328	0.0005434558275385411	0.010711696303783675	0.0005337228439322976	0.010428046518923937
12	0.0002549583615434769	0.009478228851308246	0.00025081574824318306	0.009143283252689741	0.0002507649160549018	0.009311526267767347	0.0002563864876459822	0.009196992333106264
