UniqueCount	AmbigCount
2	22
0	1
1	840
0	0
0	1
0	2
0	0
0	1
0	1
0	0
0	0
0	0
0	0
28	32
0	2
3	4
0	1
0	0
0	23
2	2
0	22
0	1
0	13
705	237
0	236
26	174
21	7
4	6
16	69
0	2
0	0
0	1
5	1513
13	348
0	348
0	244
0	101
0	92
119	24
0	0
0	37
0	0
0	0
0	0
0	0
0	0
0	0
0	6
3	12
2	10
0	7
0	7
45	2
0	31
0	13
0	40
2	29
0	8
0	9
0	30
1	27
0	14
2	18
0	28
3	11
0	4
0	8
0	143
7	11
0	0
0	3
0	2
44	30
1	0
0	1
0	8
0	0
0	0
7	0
0	1
0	0
0	8
0	6
0	2
0	10
0	7
0	7
0	7
0	0
0	0
10	1660
2490	37369
83	171994
0	0
19	930
0	3
3842	10857
10	2349
0	0
0	2
80	552
0	42
0	24
3	24
0	0
0	0
0	91
0	9
0	9
0	7
0	7
0	102
46	43
0	3
0	3
0	47
0	2
0	4
1	5
0	3
0	67
0	41
13	2
0	73
26	73
0	2
0	0
6	0
0	6
0	1
0	3
0	2
0	2
0	0
0	8
10	105
2	134
77	134
0	2
19	19
0	16
2	2
0	0
0	41
0	44
28	114
76	93
0	203
73	36
0	77
0	122
28	9
0	121
0	77
0	54
0	40
0	16
0	27
0	9
7	3
0	49
0	48
0	47
0	9
0	13
0	4
1	9
0	52
0	68
0	81
0	44
1	13
0	47
0	42
0	13
0	2
4	35
0	12
0	17
2	2
135	7
0	1
0	1
1	20
0	4
0	18
0	1
0	0
0	0
17	0
1	0
0	1
0	1
0	0
0	7
0	7
0	0
0	7
0	1
0	3
0	3
0	1
0	3
0	7
0	3
0	0
0	2
0	0
0	0
111	2531
2	1520
51	2202
0	0
104	552
12	157
56	28
10	8
5	20
9	0
1	5
0	4
0	5
2	0
0	0
0	0
0	0
0	0
0	0
1	0
0	4
1	3
0	4
0	2
0	40
0	31
14	40
0	0
0	0
2	1157
0	1109
0	1029
0	1077
0	6
6	58
2	16
0	1
4	22
24	242
0	7
0	12
0	15
0	11
5	14
0	14
0	11
0	11
0	0
0	4
0	6
0	0
0	0
0	81
0	70
0	79
0	79
11	70
0	78
3	86
0	21
5	71
2	24
0	19
0	19
0	5
0	3
4	3
0	0
0	0
5	6
1	0
10	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	1683
2	1862
0	1630
0	1683
29	770
11	607
1	791
0	247
964	0
0	0
0	0
0	1
0	1
0	0
9	0
1	624
0	726
0	623
4	553
4	500
0	503
0	501
14	22
0	468
2	520
4	235
0	90
0	187
0	151
0	141
5	3
0	110
0	115
14	117
28	1
0	0
2	0
0	21
0	11
2	21
0	21
1	0
0	21
0	0
0	5
14	371
45	407
10	243
0	249
4	5
0	13
0	36
2	5
20	138
0	57
15	23
0	26
0	0
0	0
29	413
2	87
2	12
0	138
8	276
0	779
0	1325
0	1324
0	1106
0	71
0	1158
0	1392
0	1104
35	1005
1	559
2	995
0	1314
0	1109
0	1060
0	1275
0	1272
0	731
0	567
12	212
0	1138
0	447
0	752
0	443
0	128
0	154
0	289
0	6
13	29
0	261
2	122
2	148
0	221
0	183
2	183
0	8
0	3
0	119
0	271
0	195
7	116
0	124
0	124
0	82
0	61
0	58
0	51
0	0
0	9
0	2
0	0
2	0
3	56
148	70
0	14
7	0
6	480
42	472
1	118
0	120
0	35
0	30
6	28
0	0
0	2
1	4
0	4
0	2
0	4
0	0
0	0
0	2
0	0
0	0
0	835
1	820
64	815
6	824
16	25
2	15
0	0
0	1234
23	1634
3	1317
68	823
13	2462
1	1714
1	2091
0	2148
0	998
3	1355
0	337
2	398
6	288
3	344
0	447
43	50
6	228
9	27
5	107
0	94
0	138
0	115
1	94
0	106
0	115
0	138
0	138
0	84
0	134
0	15
0	134
0	84
0	134
0	9
0	94
0	126
0	125
0	26
92	455
9	171
37	313
11	7
34	293
1	89
0	9
80	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
5	211
0	0
0	0
3	371
0	234
124	333
1	30
33	210
25	124
1	2
0	2
1	2
2	1275
27	1069
0	1187
0	1206
2	1165
6	41
0	48
7	386
3	0
0	0
2	0
924	2130
26	1570
0	570
541	119
1	18
74	22
0	0
395	0
27	0
91	0
5	192
0	191
0	208
0	202
0	158
0	184
0	194
46	25
0	18
0	185
0	23
0	134
2	31
0	7
0	27
0	207
2	107
0	14
0	174
0	153
5	5
1	11
0	163
5	31
7	9
0	4
0	15
0	33
0	33
0	56
0	34
0	34
0	2
0	4
0	2
0	4
0	4
0	2
0	0
0	0
1	0
0	0
18	1175
0	1134
0	1049
0	1023
0	978
0	905
0	903
2	905
0	216
1	0
3	325
33	2497
0	2499
13	701
54	319
3	0
0	1
0	4
18	902
0	819
0	129
2	689
0	769
0	538
0	777
0	827
0	819
0	574
19	12
1	53
0	19
0	4
0	369
0	4
0	47
2	172
1	388
9	88
30	22
5	13
3	5
377	612
2	1
13	1
1	0
0	1
1	275
22	42
3	274
0	126
55	2022
3	1852
39	1683
3	558
0	10
0	104
0	51
0	26
11	86
3	29
42	16
1	66
5	515
4	483
8	480
6	441
0	0
181	9738
1	13462
96	14581
66	1073
31	2008
5	1471
92	1673
6	669
10	50
0	4404
0	6
0	4
0	3
2	3
0	0
0	0
2	0
0	0
0	5
0	5
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	4
0	0
0	0
4	0
0	0
0	0
0	0
0	13
0	49
0	15
0	36
0	45
0	25
0	10
0	41
0	38
0	15
1	0
0	42
0	8
0	3
1	29
0	9
0	13
0	1
0	32
0	0
0	0
16	238
0	35
7	3
0	1
3	1
1	1
1	233
0	32
0	230
0	43
1	48
0	44
0	48
0	44
0	61
0	57
0	46
2	40
0	32
0	26
0	2
0	191
1	54
0	123
0	116
0	3
27	1
2	1
0	1
0	36
4	38
7	171
0	197
0	143
71	150
0	35
0	180
0	160
6	160
4	160
6	18
0	155
0	0
2	0
0	0
2071	123
2	0
0	42
2	81
0	0
0	0
0	70
0	37
9	68
0	1
19	14
1	14
8	16
0	24
44	3
0	9
0	4
0	0
17	0
0	0
16	0
9	1224
0	121
4	1465
0	287
30	72
1	925
0	252
136	498
14	399
2	388
0	393
0	226
0	248
0	43
0	5
1	1
1	0
5	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	368
0	357
0	262
0	30
3	4
0	0
6	5
1	13
0	47
8	11
2	3
0	10
0	0
0	6
0	6
0	22
0	8
20	18
0	5
14	23
0	9
0	19
0	23
5	21
0	23
0	17
0	148
0	138
3	8
0	8
5	19
10	125
0	160
0	10
0	17
2	0
0	10
0	5
0	0
0	0
0	9
0	10
0	52
0	52
0	52
0	52
0	19
0	51
0	5
0	12
0	9
0	10
0	51
0	9
0	41
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
51	9
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
0	0
0	0
0	0
35	217
2	217
1	217
0	36
0	11
0	21
7	169
1	0
17	25
0	16
0	2
0	22
0	2
0	5
0	4
0	0
0	1
0	0
0	1
0	0
0	1
0	0
0	0
115	422
0	422
11	357
35	357
75	22
1	184
0	102
1	37
0	13
0	140
0	189
2	108
0	367
0	330
0	186
0	327
0	329
0	142
0	144
0	123
0	123
0	301
1	91
10	9
0	132
0	48
1	0
0	0
0	10
0	2
0	17
0	29
0	27
2	56
0	19
0	0
0	37
0	0
0	41
0	48
0	49
0	42
0	18
0	26
0	30
0	33
0	27
0	38
0	31
0	7
0	6
0	2
0	36
0	30
12	3
0	29
0	0
0	0
36	51
2	97
13	97
1	17
0	11
0	12
7	4
482	91
1	91
1	24
0	0
3	0
20	803
0	1190
0	1214
0	1172
0	1130
0	1202
12	1178
21	1112
1	728
0	1179
2	1142
0	1190
0	1158
1	1062
0	1103
0	1129
0	8
2	1075
0	348
1	1073
0	97
1	34
7	740
0	616
0	101
23	74
0	13
0	190
3	169
3	177
4	183
3	183
0	184
0	183
0	183
5	8
1	29
8	415
19	456
17	480
0	413
0	429
0	450
0	430
0	438
4	472
9	271
0	16
0	11
0	17
24	18
12	18
0	9
3	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
51	13
5	13
0	0
1	62
0	62
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	53
5	51
0	303
12	385
1	381
0	345
6	4
1	6
59	14
0	248
6	3
1	849
0	867
3	3669
3	3686
0	3642
2	67
0	350
0	4
90	310
1	2
0	657
4	332
0	472
0	3521
0	643
0	5
0	1261
0	3613
3	481
1	2624
6	4323
0	1089
2	3841
22	1688
0	887
0	1963
0	4046
0	479
11	850
115	3550
31	796
0	10
1	3657
5	3643
10	1462
5	1502
0	456
80	4
21	3197
39	195
0	1359
35	2094
8	149
28	83
5	205
1	2407
8	2191
0	2423
2	26
0	0
0	18
0	12
0	15
0	3
2	4722
10112	44567
606	44528
4	44194
4	39239
1	6074
0	4752
16	4746
2	0
2	0
15	38
0	0
10	1
13	36
0	1
0	0
0	7
4	5
1547	2348
0	53
45	2313
16	832
8	31
2	6
3	31
0	0
200	0
0	896
0	963
1	807
0	805
2	807
0	840
0	839
0	963
0	617
4	19
10	0
6	0
0	0
0	0
0	0
0	0
0	0
2	154
9	94
0	11
0	13
0	16
1	1
0	1
1	96
0	83
0	1
1	100
0	1
0	49
0	79
0	84
0	4
0	0
0	0
0	29
0	41
0	40
31	51
0	37
0	41
0	40
0	34
0	20
0	11
0	21
0	13
0	9
0	18
0	15
0	0
0	6
0	5
0	7
0	16
0	0
0	24
0	33
0	37
0	37
0	37
0	33
0	37
0	37
0	37
0	33
0	37
0	37
0	37
0	37
0	37
0	27
0	33
0	2
0	1
0	7
0	0
0	0
0	1
0	7
0	7
0	5
0	5
0	5
0	0
1197	164
1	127
10	35
6	26
0	24
0	0
0	0
0	0
0	0
0	0
0	0
14	374
12	95
11	76
0	77
61	252
23	108
0	155
0	58
2	287
56	270
0	48
0	45
0	22
383	23
0	23
90	108
11	3
7	96
25	35
0	65
1	52
5	42
6	15
4	259
0	1144
0	1232
0	690
5	842
22	900
0	977
0	1145
4	951
15	308
0	674
1	909
7	974
0	490
2	758
0	282
0	146
73	418
0	221
0	418
0	53
0	265
0	248
12	248
17	129
0	1
0	0
0	0
0	1
0	0
0	0
0	0
5	0
11	171
93	259
7	256
9	275
3	145
4	111
2	275
0	156
0	51
0	75
5	47
0	24
13	7
0	136
1	99
0	31
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	0
1	0
952	96
107	96
11	25
21	0
1	172
0	32
0	167
0	166
0	153
0	2
1	1
0	3
0	1
1	0
286	117
59	85
11	87
1	20
0	20
0	0
0	0
0	1
0	0
2	1209
102	193
127	4357
4	3515
28	4489
12	910
7	4265
2	1219
21	555
6	3250
0	0
13	0
23	2
0	0
0	26
53	44
3	16
0	36
0	30
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
3	569
21	611
3	375
0	1
0	286
