"Project"	"Category"	"Unique Reads"	"Duplicate Reads"
"PRJNA314802"	"SRR3214253"	5465371	11823485
"PRJNA314802"	"SRR3214254"	1551273	2508125
"PRJNA314802"	"SRR3214255"	4556180	11507894
"PRJNA314802"	"SRR3214265"	6213043	13294227
"PRJNA314802"	"SRR3214266"	2035902	9460709
"PRJNA314802"	"SRR3214267"	4707624	10640441
"PRJNA379744"	"SRR5511204_R1"	8187167	6399386
"PRJNA379744"	"SRR5511204_R2"	9677182	4909371
"PRJNA379744"	"SRR5511205_R1"	8821867	7966447
"PRJNA379744"	"SRR5511205_R2"	10524961	6263353
"PRJNA379744"	"SRR5511206_R1"	8796551	6983798
"PRJNA379744"	"SRR5511206_R2"	10381411	5398938
"PRJNA379744"	"SRR5511207_R1"	10741451	9459760
"PRJNA379744"	"SRR5511207_R2"	12699396	7501815
"PRJNA533829"	"SRR8932929_R1"	28910384	41763113
"PRJNA533829"	"SRR8932929_R2"	31145688	39527809
"PRJNA533829"	"SRR8932930_R1"	35558220	41659837
"PRJNA533829"	"SRR8932930_R2"	36555376	40662681
"PRJNA533829"	"SRR8932934_R1"	16945804	30438116
"PRJNA533829"	"SRR8932934_R2"	18837266	28546654
"PRJNA533829"	"SRR8932935_R1"	36016952	46071865
"PRJNA533829"	"SRR8932935_R2"	35777166	46311651
