Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR3214253	68.38789753614671	49.0	86.0	86	18.181818181818183	17288856.0
SRR3214254	61.785647609568315	50.0	86.0	86	45.45454545454545	4059398.0
SRR3214255	71.63745952010989	49.0	86.0	86	18.181818181818183	16064074.0
SRR3214265	68.15011886831383	47.0	86.0	86	18.181818181818183	19507270.0
SRR3214266	82.29129086853922	46.0	86.0	86	36.36363636363637	11496611.0
SRR3214267	69.32757362323694	47.0	86.0	86	18.181818181818183	15348065.0
SRR5511204_THP1_RNA_unt_1_1	43.8718233775273	43.0	101.0	101	9.090909090909092	14586553.0
SRR5511204_THP1_RNA_unt_1_2	33.65683111330924	42.0	101.0	101	27.27272727272727	14586553.0
SRR5511205_THP1_RNA_unt_2_1	47.45233592395331	43.0	101.0	101	9.090909090909092	16788314.0
SRR5511205_THP1_RNA_unt_2_2	37.30781552771629	42.0	101.0	101	27.27272727272727	16788314.0
SRR5511206_THP1_RNA_pma_1_1	44.256296563036116	44.0	101.0	101	9.090909090909092	15780349.0
SRR5511206_THP1_RNA_pma_1_2	34.21304974276961	43.0	101.0	101	18.181818181818183	15780349.0
SRR5511207_THP1_RNA_pma_2_1	46.827689524913396	44.0	101.0	101	9.090909090909092	20201211.0
SRR5511207_THP1_RNA_pma_2_2	37.13547363644454	43.0	101.0	101	18.181818181818183	20201211.0
SRR8932929_RNA_THP1_24hrPMA_rep2_R1	59.09303334415164	47.0	100.0	100	27.27272727272727	70673497.0
SRR8932929_RNA_THP1_24hrPMA_rep2_R2	55.93017366147	44.0	100.0	100	27.27272727272727	70673497.0
SRR8932930_RNA_THP1_0hrPMA_rep1_R1	53.95090110058628	45.0	100.0	100	27.27272727272727	77218057.0
SRR8932930_RNA_THP1_0hrPMA_rep1_R2	52.659550762638865	43.0	100.0	100	27.27272727272727	77218057.0
SRR8932934_RNA_THP1_24hrPMA_rep1_R1	64.23722736296493	46.0	100.0	100	27.27272727272727	47383920.0
SRR8932934_RNA_THP1_24hrPMA_rep1_R2	60.24544769438685	44.0	100.0	100	27.27272727272727	47383920.0
SRR8932935_RNA_THP1_0hrPMA_rep2_R1	56.124411637059964	45.0	100.0	100	27.27272727272727	82088817.0
SRR8932935_RNA_THP1_0hrPMA_rep2_R2	56.41651660268197	43.0	100.0	100	27.27272727272727	82088817.0
