Module	Section	Sample Name	Source
FastQC	all_sections	SRR3214253	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR3214253_fastqc.zip
FastQC	all_sections	SRR3214254	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR3214254_fastqc.zip
FastQC	all_sections	SRR3214255	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR3214255_fastqc.zip
FastQC	all_sections	SRR3214265	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR3214265_fastqc.zip
FastQC	all_sections	SRR3214266	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR3214266_fastqc.zip
FastQC	all_sections	SRR3214267	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR3214267_fastqc.zip
FastQC	all_sections	SRR5511204_THP1_RNA_unt_1_1	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR5511204_THP1_RNA_unt_1_1_fastqc.zip
FastQC	all_sections	SRR5511204_THP1_RNA_unt_1_2	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR5511204_THP1_RNA_unt_1_2_fastqc.zip
FastQC	all_sections	SRR5511205_THP1_RNA_unt_2_1	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR5511205_THP1_RNA_unt_2_1_fastqc.zip
FastQC	all_sections	SRR5511205_THP1_RNA_unt_2_2	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR5511205_THP1_RNA_unt_2_2_fastqc.zip
FastQC	all_sections	SRR5511206_THP1_RNA_pma_1_1	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR5511206_THP1_RNA_pma_1_1_fastqc.zip
FastQC	all_sections	SRR5511206_THP1_RNA_pma_1_2	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR5511206_THP1_RNA_pma_1_2_fastqc.zip
FastQC	all_sections	SRR5511207_THP1_RNA_pma_2_1	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR5511207_THP1_RNA_pma_2_1_fastqc.zip
FastQC	all_sections	SRR5511207_THP1_RNA_pma_2_2	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR5511207_THP1_RNA_pma_2_2_fastqc.zip
FastQC	all_sections	SRR8932929_RNA_THP1_24hrPMA_rep2_R1	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR8932929_RNA_THP1_24hrPMA_rep2_R1_fastqc.zip
FastQC	all_sections	SRR8932929_RNA_THP1_24hrPMA_rep2_R2	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR8932929_RNA_THP1_24hrPMA_rep2_R2_fastqc.zip
FastQC	all_sections	SRR8932930_RNA_THP1_0hrPMA_rep1_R1	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR8932930_RNA_THP1_0hrPMA_rep1_R1_fastqc.zip
FastQC	all_sections	SRR8932930_RNA_THP1_0hrPMA_rep1_R2	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR8932930_RNA_THP1_0hrPMA_rep1_R2_fastqc.zip
FastQC	all_sections	SRR8932934_RNA_THP1_24hrPMA_rep1_R1	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR8932934_RNA_THP1_24hrPMA_rep1_R1_fastqc.zip
FastQC	all_sections	SRR8932934_RNA_THP1_24hrPMA_rep1_R2	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR8932934_RNA_THP1_24hrPMA_rep1_R2_fastqc.zip
FastQC	all_sections	SRR8932935_RNA_THP1_0hrPMA_rep2_R1	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR8932935_RNA_THP1_0hrPMA_rep2_R1_fastqc.zip
FastQC	all_sections	SRR8932935_RNA_THP1_0hrPMA_rep2_R2	/mnt/f/Dissertation/0.Quality_control/Input/Sup/SRR8932935_RNA_THP1_0hrPMA_rep2_R2_fastqc.zip
