Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ATAC_THP1_0hrPMA_rep1_r1	76.6356252961005	45.0	69.1226246559861	75	27.27272727272727	134223137.0
ATAC_THP1_0hrPMA_rep1_r2	74.3861560085175	45.0	69.18973721348802	75	27.27272727272727	134223137.0
ATAC_THP1_0hrPMA_rep2_r1	75.38177241212175	45.0	68.5398124265557	75	18.181818181818183	101496137.0
ATAC_THP1_0hrPMA_rep2_r2	74.03729892901782	45.0	68.5612059895442	75	18.181818181818183	101496137.0
ATAC_THP1_24hrPMA_rep1_r1	70.27401557806877	45.0	69.18480493087138	75	18.181818181818183	128150980.0
ATAC_THP1_24hrPMA_rep1_r2	68.09538050962917	45.0	69.24631795246513	75	18.181818181818183	128150980.0
ATAC_THP1_24hrPMA_rep2_r1	67.74338743081263	45.0	69.26257537131744	75	18.181818181818183	101556703.0
ATAC_THP1_24hrPMA_rep2_r2	66.49861428789919	45.0	69.28532972363233	75	18.181818181818183	101556703.0
SRR8932929_RNA_THP1_24hrPMA_rep2_R1	59.09303334415164	47.0	100.0	100	27.27272727272727	70673497.0
SRR8932929_RNA_THP1_24hrPMA_rep2_R2	55.93017366147	44.0	100.0	100	27.27272727272727	70673497.0
SRR8932930_RNA_THP1_0hrPMA_rep1_R1	53.95090110058628	45.0	100.0	100	27.27272727272727	77218057.0
SRR8932930_RNA_THP1_0hrPMA_rep1_R2	52.659550762638865	43.0	100.0	100	27.27272727272727	77218057.0
SRR8932934_RNA_THP1_24hrPMA_rep1_R1	64.23722736296493	46.0	100.0	100	27.27272727272727	47383920.0
SRR8932934_RNA_THP1_24hrPMA_rep1_R2	60.24544769438685	44.0	100.0	100	27.27272727272727	47383920.0
SRR8932935_RNA_THP1_0hrPMA_rep2_R1	56.124411637059964	45.0	100.0	100	27.27272727272727	82088817.0
SRR8932935_RNA_THP1_0hrPMA_rep2_R2	56.41651660268197	43.0	100.0	100	27.27272727272727	82088817.0
