Module	Section	Sample Name	Source
FastQC	all_sections	ATAC_THP1_0hrPMA_rep1_r1	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/ATAC_THP1_0hrPMA_rep1_r1_fastqc.zip
FastQC	all_sections	ATAC_THP1_0hrPMA_rep1_r2	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/ATAC_THP1_0hrPMA_rep1_r2_fastqc.zip
FastQC	all_sections	ATAC_THP1_0hrPMA_rep2_r1	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/ATAC_THP1_0hrPMA_rep2_r1_fastqc.zip
FastQC	all_sections	ATAC_THP1_0hrPMA_rep2_r2	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/ATAC_THP1_0hrPMA_rep2_r2_fastqc.zip
FastQC	all_sections	ATAC_THP1_24hrPMA_rep1_r1	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/ATAC_THP1_24hrPMA_rep1_r1_fastqc.zip
FastQC	all_sections	ATAC_THP1_24hrPMA_rep1_r2	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/ATAC_THP1_24hrPMA_rep1_r2_fastqc.zip
FastQC	all_sections	ATAC_THP1_24hrPMA_rep2_r1	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/ATAC_THP1_24hrPMA_rep2_r1_fastqc.zip
FastQC	all_sections	ATAC_THP1_24hrPMA_rep2_r2	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/ATAC_THP1_24hrPMA_rep2_r2_fastqc.zip
FastQC	all_sections	SRR8932929_RNA_THP1_24hrPMA_rep2_R1	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/SRR8932929_RNA_THP1_24hrPMA_rep2_R1_fastqc.zip
FastQC	all_sections	SRR8932929_RNA_THP1_24hrPMA_rep2_R2	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/SRR8932929_RNA_THP1_24hrPMA_rep2_R2_fastqc.zip
FastQC	all_sections	SRR8932930_RNA_THP1_0hrPMA_rep1_R1	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/SRR8932930_RNA_THP1_0hrPMA_rep1_R1_fastqc.zip
FastQC	all_sections	SRR8932930_RNA_THP1_0hrPMA_rep1_R2	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/SRR8932930_RNA_THP1_0hrPMA_rep1_R2_fastqc.zip
FastQC	all_sections	SRR8932934_RNA_THP1_24hrPMA_rep1_R1	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/SRR8932934_RNA_THP1_24hrPMA_rep1_R1_fastqc.zip
FastQC	all_sections	SRR8932934_RNA_THP1_24hrPMA_rep1_R2	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/SRR8932934_RNA_THP1_24hrPMA_rep1_R2_fastqc.zip
FastQC	all_sections	SRR8932935_RNA_THP1_0hrPMA_rep2_R1	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/SRR8932935_RNA_THP1_0hrPMA_rep2_R1_fastqc.zip
FastQC	all_sections	SRR8932935_RNA_THP1_0hrPMA_rep2_R2	/mnt/c/Users/User/Desktop/master/msc/results/0. Quality_control/fastqc/SRR8932935_RNA_THP1_0hrPMA_rep2_R2_fastqc.zip
