UniqueCount	AmbigCount
0	11
0	0
0	182
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
10	18
0	2
0	1
0	0
0	0
0	14
0	0
0	12
0	0
0	4
242	153
0	153
12	105
1	7
3	4
16	50
0	0
0	0
0	0
0	333
9	370
0	359
0	192
0	52
0	51
97	5
0	0
0	29
0	0
0	0
0	0
0	1
0	4
0	0
0	0
2	4
0	4
0	0
0	4
30	4
0	24
0	7
0	16
0	21
0	7
0	7
0	6
0	8
0	7
5	3
0	5
0	3
0	4
0	7
0	53
1	4
0	0
0	1
0	0
33	12
0	0
0	0
0	5
0	0
2	0
5	3
0	2
0	0
0	5
0	0
0	0
2	3
0	0
0	0
0	4
0	0
0	0
7	2933
2405	26742
81	133224
0	0
6	603
0	2
4130	11947
7	2164
0	0
0	0
67	286
0	21
0	9
2	9
0	0
1	0
0	55
0	3
0	3
0	3
0	3
0	24
12	8
0	3
0	3
0	26
0	3
0	3
0	3
0	3
0	18
0	9
18	1
0	22
12	22
0	0
0	0
6	0
0	18
0	1
0	10
0	1
0	1
0	1
0	18
14	46
1	66
104	66
0	1
29	8
0	8
0	3
0	0
0	76
0	73
52	259
108	115
0	341
35	47
0	182
0	254
26	14
0	254
0	181
0	93
0	83
0	21
0	47
0	16
3	12
0	92
0	93
0	74
0	14
0	23
0	15
3	33
0	93
0	172
0	174
0	80
3	23
0	77
0	72
5	23
0	5
4	48
0	23
0	20
0	1
69	1
0	0
2	0
0	22
0	1
0	17
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
52	1316
1	792
70	1118
0	0
90	320
15	147
33	5
4	1
0	4
0	0
1	6
0	5
0	6
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	36
4	36
2	27
0	25
0	277
0	143
122	277
0	0
0	0
3	1792
0	1675
0	1575
0	1692
0	29
1	49
4	28
0	0
8	15
51	381
0	4
0	83
0	134
0	62
19	102
1	128
14	60
0	60
3	4
7	42
0	18
1	0
0	0
0	38
0	29
4	35
0	37
16	28
0	37
1	38
0	4
0	32
3	11
0	10
0	11
0	0
1	0
0	1
0	6
0	6
0	0
1	0
4	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
3	3
0	0
9	3
8	3
0	0
4	1505
5	1690
0	1450
0	1505
22	615
2	493
0	777
0	185
619	0
0	0
0	0
0	0
0	1
0	1
24	0
0	427
0	479
0	430
5	387
2	357
0	324
1	358
5	14
0	338
0	367
1	166
0	88
0	145
0	145
0	125
0	7
0	94
0	109
6	100
15	1
0	2
2	2
0	4
0	4
4	4
0	4
0	1
1	4
0	0
0	3
3	130
25	131
0	68
0	64
8	0
0	8
0	10
1	0
10	48
0	28
5	12
0	17
0	0
0	0
4	99
0	20
0	6
0	29
8	70
0	282
0	498
0	499
0	376
0	26
0	405
0	511
0	376
32	354
7	211
4	337
0	488
0	373
0	366
0	466
0	479
0	249
0	199
6	63
0	425
0	151
0	274
0	178
5	40
0	57
0	146
0	0
1	3
0	125
0	43
0	81
0	108
0	102
0	105
0	4
0	2
0	76
0	126
8	106
4	76
0	86
0	66
0	51
0	18
0	20
0	20
0	0
0	12
0	0
0	0
1	0
0	39
67	51
0	12
1	0
2	205
24	202
0	52
0	51
2	13
1	8
0	22
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	209
0	207
31	204
2	208
5	9
0	0
0	0
0	653
10	856
7	641
46	399
4	1388
4	991
0	1211
0	1227
0	569
5	731
0	195
1	263
0	164
2	178
0	243
36	12
0	153
3	11
9	67
0	37
0	70
0	52
0	37
0	51
0	52
0	70
0	70
0	36
0	70
0	5
0	70
0	36
0	70
0	5
0	41
0	69
0	67
0	16
25	222
5	99
25	137
4	0
13	123
0	16
0	0
45	5
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	63
0	0
0	0
11	200
0	122
60	190
3	28
30	101
16	48
0	0
0	0
0	0
0	442
15	361
0	420
0	404
0	403
1	20
0	13
2	130
0	0
0	0
0	0
565	1024
26	741
0	285
233	64
8	14
41	16
0	0
57	0
16	0
45	0
1	94
0	90
0	101
0	104
0	94
0	96
0	99
6	9
0	6
0	96
3	9
0	80
0	8
0	1
1	26
0	111
0	55
0	16
0	90
0	82
3	5
0	6
0	74
0	12
4	1
0	4
0	3
2	13
0	11
0	35
0	29
0	29
0	0
0	2
0	0
0	2
0	2
0	2
0	0
0	0
0	0
0	0
7	582
0	553
0	504
0	509
0	484
0	445
0	442
0	445
0	135
4	1
0	115
7	745
0	751
5	224
21	116
1	0
0	0
0	2
4	554
0	514
0	48
2	404
2	482
0	387
0	469
0	486
0	471
0	415
17	0
0	35
0	4
0	1
0	175
0	3
2	34
0	132
1	189
2	70
27	27
0	9
5	0
124	393
0	2
2	2
0	0
0	0
2	103
11	7
0	105
0	41
37	771
0	661
20	601
5	219
0	7
0	47
0	23
0	15
9	47
0	14
33	10
0	36
1	206
5	248
6	248
5	224
3	0
200	4131
0	7057
55	7635
19	524
7	985
1	991
80	974
6	361
7	27
0	3136
0	4
0	4
0	0
2	1
0	1
0	1
8	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
8	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	0
0	2
0	2
0	0
0	2
0	2
0	0
1	2
0	2
0	2
0	2
0	2
0	0
0	0
2	77
0	15
0	2
0	0
0	0
0	0
0	75
0	13
0	74
0	17
0	18
0	17
0	18
0	17
0	30
0	19
0	17
0	13
0	13
0	7
0	0
0	56
0	24
0	44
0	28
0	0
8	2
4	0
1	0
0	10
0	10
3	52
0	67
0	45
21	45
0	8
0	57
1	47
6	47
0	46
0	1
0	44
0	0
5	0
1	0
768	48
1	0
0	13
2	35
0	1
0	1
0	23
0	14
1	23
0	3
2	3
0	3
2	4
0	8
27	0
0	3
0	0
0	0
7	0
0	0
1	0
2	460
0	63
0	525
0	74
1	54
1	325
0	68
85	144
3	176
0	173
0	176
0	109
0	109
0	21
0	3
0	2
7	2
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	181
0	179
0	138
0	21
0	3
3	0
3	5
0	10
0	13
8	4
3	4
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
10	2
0	1
0	17
0	26
0	25
0	26
0	16
3	119
0	104
0	8
0	15
5	17
17	114
0	131
0	2
0	20
0	0
2	12
0	2
0	0
0	0
0	17
0	11
0	59
0	53
0	59
0	53
0	22
0	50
0	17
0	16
0	10
1	13
0	43
1	7
0	40
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
28	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
4	9
0	9
0	9
1	3
0	0
0	0
0	6
0	0
25	4
0	4
0	0
0	3
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	0
59	190
2	190
2	75
20	75
23	3
2	47
0	13
0	7
0	0
1	28
0	53
0	32
0	9
0	9
0	5
0	9
0	9
0	4
0	4
0	2
0	2
0	6
0	2
0	0
0	2
0	0
0	0
0	0
0	8
0	0
0	14
0	15
0	21
0	35
0	10
0	0
0	26
0	0
0	30
0	32
0	32
0	29
0	18
0	19
0	23
0	23
0	18
0	29
0	22
0	5
0	3
0	1
0	15
0	13
3	0
0	15
0	0
0	0
2	0
1	3
0	3
2	0
0	0
0	0
0	0
194	60
1	60
0	10
0	0
0	0
5	565
0	951
0	978
0	935
0	916
0	972
9	965
4	933
0	565
0	950
2	936
0	969
0	929
3	824
6	855
0	895
0	3
3	842
0	226
4	841
3	66
0	13
1	616
0	554
1	110
13	70
0	7
0	79
0	64
0	74
1	72
1	72
0	72
0	72
0	74
0	1
0	13
5	82
0	104
3	101
0	81
0	83
0	101
0	84
0	86
2	107
1	58
0	9
0	0
0	3
8	0
6	1
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	5
0	0
0	0
0	0
0	0
