gene_name	Promoter	Enhancer	log2FoldChange	Con
BCL6	0.00	S	5.14829280911011	a
TGFB2	0.00	S	2.96724147800797	a
ADORA2A	L	3.16609182914902	5.92362154012617	b
EPHB2	L	2.20594244450286	5.26893734263118	b
AOAH	0.00	2.15217852558854	-3.57874096561894	c
CCR2	0.00	2.79863773929687	-6.11959899630983	c
CX3CR1	0.00	2.03435801130973	-4.80608016358133	c
HYAL3	0.00	2.52071016358621	-3.05844351052864	c
LY75	0.00	2.71757547367996	-2.39274484302428	c
RAB44	0.00	2.29543522307259	-3.15891222157951	c
SLC11A1	0.00	3.02668972595502	-2.62689392731207	c
VSIR	0.00	2.22690407127084	-3.21133656208574	c
HLA-DQB1	2.92000104760156	2.92000104760156	-2.45230582671804	d
SEMA3A	2.52712347882837	N	-2.66761489089559	d
THBS4	2.71108785665412	N	-3.93661625542132	d
C5AR1	2.08463752685338	N	5.6830544917684	e
CSF2	2.22410583225115	N	9.40011793420456	e
EBI3	3.85214550960954	N	10.0640795808845	e
GAL	4.07602480080427	N	2.65427736465843	e
IGF2	3.87625256001719	N	5.82119110518677	e
MMP9	3.93724416852834	N	9.52638274396716	e
NFKB1	2.69384118972876	N	3.28981040088069	e
PDGFRA	2.26756647936895	N	4.36685003657142	e
SPP1	4.14600125593875	N	5.09967236878916	e
WNT5B	4.29050800121455	N	3.09998784386306	e
BCAR1	0.00	2.34829159210637	3.14330007616156	f
CD80	0.00	2.08559508200893	5.63837805523962	f
CSF1	0.00	2.31887261678089	6.62015120764682	f
EGFR	0.00	2.90652801317894	3.81941706069595	f
IFNGR2	0.00	2.90974209522169	3.37977320362597	f
IL1A	0.00	2.29808700476064	10.0568173194451	f
IL1B	0.00	2.29808700476064	9.94973242414408	f
IL4I1	0.00	2.92347039555808	8.48465960473635	f
IRAK2	0.00	3.46803363258523	6.05276865948251	f
ITGA5	0.00	2.42816160497311	2.35825853494704	f
ITGA6	0.00	3.83946493437568	3.88611821060601	f
LGALS3	3.34150378720961	2.05515096911677	4.06906211012603	g
LIPA	0.00	2.7346359782394	2.1740942794077	f
MGLL	0.00	2.82118242029858	6.39855517613055	f
MMP14	0.00	2.25152695734634	3.84299603075908	f
NFKBIA	0.00	2.47607305694999	3.93039737412646	f
NINJ1	0.00	2.89131948957146	3.21721426472413	f
NT5E	0.00	2.23016340972102	4.45857529305906	f
PPARD	0.00	3.60755807430685	3.14710621095255	f
REL	0.00	2.74726141573081	2.14316606650217	f
RHBDF2	0.00	2.16177404140137	3.97585002889382	f
SEMA7A	0.00	3.75812384572158	4.81203324779358	f
SLAMF8	0.00	2.56102153414818	7.20443235409364	f
SMAD7	0.00	2.93289582250211	3.08285910723611	f
SRC	0.00	2.17746370492462	5.5101690061206	f
STK10	0.00	2.39203919289914	2.2111493821449	f
TNF	0.00	2.79972724928715	5.8279065040007	f
TNFRSF1B	0.00	3.46772453606126	2.90960454004242	f
TNIP1	2.52719474826134	3.59894829469847	2.33562199753398	g
ZMIZ1	0.00	3.08905409080068	2.69167146521407	f
CCL1	2.08463752685338	2.15401221421398	7.69858478242336	g
CD274	3.80618458193525	3.80618458193525	6.02388622557021	g
CD44	3.5715499306739	2.38482795390489	4.46043800570972	g
CSF1R	3.1532655280323	3.41467569162005	3.20732834561543	g
CTSH	2.5334049481245	2.5334049481245	3.18336251619619	g
DAB2	2.84123469778833	2.84123469778833	4.47710672120679	g
FGR	3.65404488569628	3.65404488569628	2.877574461492	g
HBEGF	2.15552124834507	2.49639989609814	4.63425768355404	g
NFAT5	2.31395798438666	2.31395798438666	2.61753664449323	g
MYB	-2.66725359109396	N	-3.27332872461972	e
