"Position (bp)"	"ATAC_THP1_0hrPMA_rep1_r1_val_1"	"ATAC_THP1_0hrPMA_rep1_r2_val_2"	"ATAC_THP1_0hrPMA_rep2_r1_val_1"	"ATAC_THP1_0hrPMA_rep2_r2_val_2"	"ATAC_THP1_24hrPMA_rep1_r1_val_1"	"ATAC_THP1_24hrPMA_rep1_r2_val_2"	"ATAC_THP1_24hrPMA_rep2_r1_val_1"	"ATAC_THP1_24hrPMA_rep2_r2_val_2"
1	34.49926765107658	33.95537327971873	34.41084124191528	34.20122096106979	34.45258328128313	33.96973261925822	34.41520897813205	34.185984394223375
2	34.6846746615589	34.13876800856842	34.60527855631974	34.32044369885438	34.638658632992005	34.130417105590965	34.612428367909864	34.3083920325375
3	34.496575746061474	33.87404507565188	34.41226795383843	34.122368416937235	34.45379748975301	33.8875673665708	34.416993408133806	34.107494055325134
4	34.662800046059445	34.07237886964286	34.58335852899102	34.26208441017145	34.61637872394009	34.06286876582795	34.589392840085104	34.25104966822791
5	34.55481992901762	33.92834556115406	34.47612837133713	34.15300963759013	34.510703445584305	33.92810255807269	34.48050632680047	34.13812822021927
6	34.492065479529444	33.836736495032014	34.40028255842975	34.0925755430803	34.43950002918208	33.84574825078814	34.40142518165432	34.07441250682417
7	34.52822895564388	33.863477719313984	34.44303955870978	34.11218421835136	34.47925474059208	33.870813991935556	34.441753818452746	34.089894409868734
8	34.49519582186985	33.811956629002765	34.41075672400298	34.07205694624672	34.44872887422263	33.82581647435001	34.4121425957398	34.050069896742684
9	34.46168126448724	33.787691027647234	34.37474651746081	34.0517820403953	34.4146202258691	33.79936258722565	34.372195904975065	34.027082254331965
10	34.4771555828388	33.807247881939105	34.39650690206467	34.058301890847964	34.431447050101994	33.815455026229934	34.393701922794904	34.034271670633906
11	34.42171484159289	33.75680160805881	34.33185718439377	34.02012990237242	34.37146904210602	33.76740932265485	34.32807085269517	33.99482649977217
12	34.402436134732596	33.73124774611307	34.310772153668196	33.99855280312529	34.3477456210315	33.739897698039776	34.30540500026676	33.96875121584059
13	34.39609353709009	33.72145117594802	34.31097986108425	33.98390553315629	34.344719149543366	33.72890908449146	34.3036381482024	33.956339555949775
14	34.356018718951844	33.710125455069374	34.26320704547233	33.97581487663348	34.299567455042556	33.72041483826478	34.25862422292448	33.94797372471466
15	34.29520469229618	33.6586007149078	34.20278501210226	33.93426042295069	34.23873760574626	33.67218719960123	34.19527500254092	33.90461020015984
16	34.28532039672584	33.69595351866251	34.194415720267735	33.96084493370325	34.229550322815136	33.70245396331893	34.18410481191348	33.9277303654539
17	34.16913314726179	33.641959787527114	34.068747687261464	33.912754271584554	34.1042558144513	33.6500200081925	34.05487085842546	33.8779650299206
18	34.127625865298135	33.61526067690307	34.03145914979397	33.89500567987751	34.066826840845074	33.62771728507062	34.01932324103007	33.85926462848521
19	34.13068704259493	33.60905991502526	34.03476040465913	33.875991377973826	34.069661504859404	33.61569699143328	34.02073064322921	33.84120008549142
20	34.09234392289483	33.59688444676217	33.989362694271165	33.86580757909432	34.02554911623245	33.60582117290931	33.97540677960894	33.831583946143596
21	34.03459771661082	33.556324185362904	33.929520198663916	33.8306683043516	33.96637608418612	33.56539067027717	33.91434612131683	33.794010352845845
22	34.0347391822296	33.540621841928186	33.9318272657858	33.80851930158967	33.965834207756316	33.54700583537097	33.91431956282604	33.771170175044624
23	33.9843943206628	33.49859101138026	33.87833131413852	33.78042910342333	33.91346059788837	33.50978773979489	33.86103234258998	33.74080209438925
24	33.96391162611252	33.47873147467196	33.854577357448996	33.767550250852956	33.88880323079345	33.48937897847042	33.833197218996276	33.72461994845578
25	33.98019590537308	33.50811207807442	33.87568801547164	33.773574782010726	33.90711412903567	33.509863878860585	33.85274887103195	33.731411781082805
26	33.93911688696798	33.47383863993748	33.83050992265107	33.747044794245525	33.862235907889506	33.47819141132103	33.8056585467007	33.7036977204089
27	33.90443930743177	33.45291681960304	33.79599627648288	33.72649653245215	33.82761702560101	33.4566675351482	33.77018451031449	33.680313913282276
28	33.9034591815008	33.45546754346566	33.793471409689396	33.72143052594262	33.825308268730446	33.45714584841073	33.76917489603468	33.674689167133984
29	33.8706906588948	33.39047707050975	33.75405273849867	33.66362403738108	33.787439226959265	33.39357049760916	33.72749314800778	33.6170906022995
30	33.80447413732982	33.334553874515365	33.68622238744966	33.617109952237236	33.720664134445585	33.342519156474594	33.659523615985854	33.5690087151618
31	33.84876896315605	33.362668799951116	33.7338950438951	33.62170652742227	33.76247654625033	33.35899376764309	33.70027522419262	33.5699235041593
32	33.796296536135465	33.31194209716751	33.6830668287443	33.57690434947626	33.710025398377965	33.311048642799975	33.646200246464055	33.52146334900604
33	33.74472290151829	33.26457767916064	33.62925023702971	33.52674866286116	33.66045836490868	33.26366597476327	33.593226672361396	33.47140225135254
34	33.74622227373333	33.2546334882743	33.63036347926831	33.511804459047696	33.65908700086313	33.24829158668006	33.59255375651276	33.45392789173635
35	33.7023395505465	33.17644754098974	33.582544767455396	33.44132820004925	33.61422285943351	33.17348884631553	33.543648952676556	33.38132877947439
